% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
4097	1	1	6	0	0	0	165	0	1	1
4097	4	39	74	0	0	0	165	0	1	0
4097	7	66	11	0	0	4	437	0	1	1
4098	4	34	89	0	0	0	165	0	1	0
4098	7	63	3	0	0	14	1527	0	1	1
4099	3	24	94	0	0	0	165	0	1	0
4099	7	67	12	0	0	4	437	0	1	1
4100	7	70	2	0	0	12	1191	0	1	1
4101	5	41	58	0	0	0	165	0	1	0
4101	7	62	6	0	0	6	621	0	1	1
4102	1	3	58	0	0	0	165	0	1	0
4102	7	68	5	0	0	4	437	0	1	1
4103	3	28	219	0	0	0	165	0	1	0
4103	7	61	7	0	0	10	935	0	1	1
4104	7	64	8	0	0	18	1980	0	1	1
4105	5	42	12	0	0	0	165	0	1	0
4105	7	69	1	0	0	16	1836	0	1	1
4106	7	66	11	0	0	4	437	0	1	1
4107	5	45	33	0	0	0	165	0	1	0
4107	7	65	4	0	0	6	621	0	1	1
4108	1	1	6	0	0	0	165	0	1	1
4108	7	63	3	0	0	14	1527	0	1	1
4109	3	24	94	0	0	0	165	0	1	0
4109	7	67	12	0	0	4	437	0	1	1
4110	7	70	2	0	0	12	1191	0	1	1
4111	2	11	34	0	0	0	165	0	1	0
4111	7	62	6	0	0	6	621	0	1	1
4112	2	12	73	0	0	0	165	0	1	0
4112	7	61	7	0	0	10	935	0	1	1
4113	2	15	99	0	0	0	165	0	1	0
4113	3	22	160	0	0	0	165	0	1	0
4113	4	36	121	0	0	0	165	0	1	0
4113	6	59	3	0	0	0	165	0	1	0
4113	7	68	5	0	0	4	437	0	1	1
4114	2	14	108	0	0	0	165	0	1	0
4114	7	64	8	0	0	18	1980	0	1	1
4115	6	53	12	0	0	0	165	0	1	0
4115	7	69	1	0	0	16	1836	0	1	1
4116	5	48	77	0	0	0	165	0	1	0
4116	7	66	11	0	0	4	437	0	1	1
4117	1	4	3	0	0	0	165	0	1	1
4117	7	65	4	0	0	6	621	0	1	1
4118	2	11	34	0	0	0	165	1	0	1
4118	7	63	3	0	0	14	1527	0	1	1
4119	1	1	6	0	0	0	165	0	1	1
4119	3	29	85	0	0	0	165	0	1	0
4119	7	70	2	0	0	12	1191	0	1	1
4120	1	8	7	0	0	0	165	0	1	0
4120	4	36	121	0	0	0	165	1	0	0
4120	7	67	12	0	0	4	437	0	1	1
4121	7	61	7	0	0	10	935	0	1	1
4122	4	31	93	0	0	0	165	0	1	0
4122	7	68	5	0	0	4	437	0	1	1
4123	7	62	6	0	0	6	621	0	1	1
4124	7	64	8	0	0	18	1980	0	1	1
4125	1	9	23	0	0	0	165	0	1	0
4125	7	69	1	0	0	16	1836	0	1	1
4126	7	66	11	0	0	4	437	0	1	1
4127	7	63	3	0	0	14	1527	0	1	1
4128	4	40	33	0	0	0	165	0	1	0
4128	7	70	2	0	0	12	1191	0	1	1
4129	7	65	4	0	0	6	621	0	1	1
4130	1	1	6	0	0	0	165	0	1	1
4130	7	67	12	0	0	4	437	0	1	1
4131	7	61	7	0	0	10	935	0	1	1
4132	7	68	5	0	0	4	437	0	1	1
4133	7	64	8	0	0	18	1980	0	1	1
4134	7	69	1	0	0	16	1836	0	1	1
4135	2	15	99	0	0	0	165	0	1	0
4135	7	62	6	0	0	6	621	0	1	1
4136	7	66	11	0	0	4	437	0	1	1
4137	1	9	23	0	0	0	165	0	1	0
4137	7	63	3	0	0	14	1527	0	1	1
4138	1	5	49	0	0	0	165	0	1	0
4138	7	70	2	0	0	12	1191	0	1	1
4139	3	29	85	0	0	0	165	0	1	0
4139	7	67	12	0	0	4	437	0	1	1
4140	7	65	4	0	0	6	621	0	1	1
4141	1	1	6	0	0	0	165	0	1	1
4141	4	38	37	0	0	0	165	0	1	0
4141	7	61	7	0	0	10	935	0	1	1
4142	5	50	45	0	0	0	165	0	1	0
4142	7	68	5	0	0	4	437	0	1	1
4143	4	39	74	0	0	0	165	0	1	0
4143	7	64	8	0	0	18	1980	0	1	1
4144	3	28	219	0	0	0	165	0	1	0
4144	7	69	1	0	0	16	1836	0	1	1
4145	7	66	11	0	0	4	437	0	1	1
4146	7	62	6	0	0	6	621	0	1	1
4147	1	10	15	0	0	0	165	0	1	0
4147	7	63	3	0	0	14	1527	0	1	1
4148	2	15	99	0	0	0	165	0	1	0
4148	7	70	2	0	0	12	1191	0	1	1
4149	7	67	12	0	0	4	437	0	1	1
4150	4	39	74	0	0	0	165	1	0	0
4150	7	61	7	0	0	10	935	0	1	1
4151	1	4	3	0	0	0	165	0	1	1
4151	7	65	4	0	0	6	621	0	1	1
4152	1	2	19	0	0	0	165	0	1	0
4152	7	68	5	0	0	4	437	0	1	1
4153	1	1	6	0	0	0	165	0	1	1
4153	7	64	8	0	0	18	1980	0	1	1
4154	7	69	1	0	0	16	1836	0	1	1
4155	7	66	11	0	0	4	437	0	1	1
4156	7	63	3	0	0	14	1527	0	1	1
4157	2	13	116	0	0	0	165	0	1	0
4157	7	62	6	0	0	6	621	0	1	1
4158	7	70	2	0	0	12	1191	0	1	1
4159	1	2	19	0	0	0	165	1	0	1
4159	7	67	12	0	0	4	437	0	1	1
4160	2	12	73	0	0	0	165	0	1	0
4160	7	61	7	0	0	10	935	0	1	1
4161	7	68	5	0	0	4	437	0	1	1
4162	7	64	8	0	0	18	1980	0	1	1
4163	7	69	1	0	0	16	1836	0	1	1
4164	1	2	19	0	0	0	165	0	1	0
4164	4	38	37	0	0	0	165	0	1	0
4164	7	65	4	0	0	6	621	0	1	1
4165	1	1	6	0	0	0	165	0	1	1
4165	6	59	3	0	0	0	165	0	1	0
4165	7	66	11	0	0	4	437	0	1	1
4166	5	41	58	0	0	0	165	0	1	0
4166	7	63	3	0	0	14	1527	0	1	1
4167	7	70	2	0	0	12	1191	0	1	1
4168	7	62	6	0	0	6	621	0	1	1
4169	1	10	15	0	0	0	165	0	1	0
4169	7	67	12	0	0	4	437	0	1	1
4170	4	36	121	0	0	0	165	0	1	0
4170	7	61	7	0	0	10	935	0	1	1
4171	1	2	19	0	0	0	165	1	0	1
4171	5	43	23	0	0	0	165	0	1	0
4171	7	68	5	0	0	4	437	0	1	1
4172	7	64	8	0	0	18	1980	0	1	1
4173	3	28	219	0	0	0	165	0	1	0
4173	7	69	1	0	0	16	1836	0	1	1
4174	1	4	3	0	0	0	165	0	1	1
4174	7	65	4	0	0	6	621	0	1	1
4175	7	66	11	0	0	4	437	0	1	1
4176	2	14	108	0	0	0	165	0	1	0
4176	7	63	3	0	0	14	1527	0	1	1
4177	7	70	2	0	0	12	1191	0	1	1
4178	7	67	12	0	0	4	437	0	1	1
4179	4	34	89	0	0	0	165	0	1	0
4179	7	61	7	0	0	10	935	0	1	1
4180	7	62	6	0	0	6	621	0	1	1
4181	7	64	8	0	0	18	1980	0	1	1
4182	7	68	5	0	0	4	437	0	1	1
4183	2	14	108	0	0	0	165	1	0	1
4183	7	69	1	0	0	16	1836	0	1	1
4184	5	45	33	0	0	0	165	0	1	0
4184	7	66	11	0	0	4	437	0	1	1
4185	1	4	3	0	0	0	165	0	1	1
4185	4	40	33	0	0	0	165	0	1	0
4185	7	65	4	0	0	6	621	0	1	1
4186	6	59	3	0	0	0	165	0	1	0
4186	7	63	3	0	0	14	1527	0	1	1
4187	1	1	6	0	0	0	165	0	1	1
4187	7	70	2	0	0	12	1191	0	1	1
4188	1	8	7	0	0	0	165	0	1	0
4188	7	67	12	0	0	4	437	0	1	1
4189	5	49	67	0	0	0	165	0	1	0
4189	7	61	7	0	0	10	935	0	1	1
4190	7	64	8	0	0	18	1980	0	1	1
4191	7	62	6	0	0	6	621	0	1	1
4192	7	68	5	0	0	4	437	0	1	1
4193	7	69	1	0	0	16	1836	0	1	1
4194	3	30	59	0	0	0	165	0	1	0
4194	7	66	11	0	0	4	437	0	1	1
4195	7	63	3	0	0	14	1527	0	1	1
4196	1	4	3	0	0	0	165	0	1	1
4196	7	70	2	0	0	12	1191	0	1	1
4197	1	2	19	0	0	0	165	0	1	0
4197	5	50	45	0	0	0	165	0	1	0
4197	7	65	4	0	0	6	621	0	1	1
4198	1	1	6	0	0	0	165	0	1	1
4198	7	67	12	0	0	4	437	0	1	1
4199	7	61	7	0	0	10	935	0	1	1
4200	1	7	8	0	0	0	165	0	1	0
4200	7	64	8	0	0	18	1980	0	1	1
4201	3	30	59	0	0	0	165	1	0	1
4201	7	69	1	0	0	16	1836	0	1	1
4202	4	31	93	0	0	0	165	0	1	0
4202	7	68	5	0	0	4	437	0	1	1
4203	7	62	6	0	0	6	621	0	1	1
4204	7	66	11	0	0	4	437	0	1	1
4205	1	9	23	0	0	0	165	0	1	0
4205	4	33	126	0	0	0	165	0	1	0
4205	7	63	3	0	0	14	1527	0	1	1
4206	7	70	2	0	0	12	1191	0	1	1
