% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2433	4	35	145	0	0	165	0	1
2433	5	47	49	0	0	165	0	1
2433	6	57	1	0	0	165	0	1
2433	7	63	3	0	14	1527	0	1
2434	1	1	6	0	0	165	0	1
2434	2	20	15	0	0	165	0	1
2434	3	24	94	0	0	165	0	1
2434	4	39	74	0	0	165	1	0
2434	5	46	56	0	0	165	0	1
2434	6	58	2	0	0	165	0	1
2434	7	70	2	0	12	1191	0	1
2435	1	3	58	0	0	165	0	1
2435	2	20	15	0	0	165	0	1
2435	3	26	102	0	0	165	0	1
2435	4	40	33	0	0	165	0	1
2435	5	41	58	0	0	165	0	1
2435	6	59	3	0	0	165	0	1
2435	7	68	5	0	4	437	0	1
2436	1	5	49	0	0	165	0	1
2436	2	20	15	0	0	165	0	1
2436	3	25	123	0	0	165	0	1
2436	4	38	37	0	0	165	0	1
2436	5	49	67	0	0	165	0	1
2436	6	60	8	0	0	165	0	1
2436	7	62	6	0	6	621	0	1
2437	1	4	3	0	0	165	0	1
2437	2	20	15	0	0	165	0	1
2437	3	22	160	0	0	165	0	1
2437	4	37	42	0	0	165	0	1
2437	5	48	77	0	0	165	0	1
2437	6	53	12	0	0	165	0	1
2437	7	61	7	0	10	935	0	1
2438	1	2	19	0	0	165	0	1
2438	2	20	15	0	0	165	0	1
2438	3	28	219	0	0	165	0	1
2438	4	39	74	0	0	165	0	1
2438	5	44	105	0	0	165	0	1
2438	6	54	55	0	0	165	1	0
2438	7	66	11	0	4	437	0	1
2439	1	2	19	0	0	165	1	0
2439	2	20	15	0	0	165	0	1
2439	3	21	237	0	0	165	0	1
2439	4	34	89	0	0	165	0	1
2439	5	42	12	0	0	165	0	1
2439	6	52	30	0	0	165	0	1
2439	7	64	8	0	18	1980	0	1
2440	1	1	6	0	0	165	0	1
2440	2	20	15	0	0	165	0	1
2440	3	23	23	0	0	165	0	1
2440	4	31	93	0	0	165	0	1
2440	5	43	23	0	0	165	0	1
2440	6	55	40	0	0	165	0	1
2440	7	69	1	0	16	1836	0	1
2441	1	3	58	0	0	165	0	1
2441	3	30	59	0	0	165	0	1
2441	4	32	110	0	0	165	0	1
2441	5	45	33	0	0	165	0	1
2441	6	56	54	0	0	165	0	1
2441	7	67	12	0	4	437	0	1
2442	1	5	49	0	0	165	0	1
