% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
8.546	6	59	855	7	3	0	165	0	0
8.546	7	70	855	7	2	12	1191	0	0
8.547	1	5	855	8	49	0	165	0	0
8.547	2	11	855	8	34	0	165	0	0
8.547	3	27	855	8	65	0	165	0	0
8.547	4	39	855	8	74	0	165	0	0
8.547	5	49	855	8	67	0	165	0	0
8.547	6	60	855	8	8	0	165	0	0
8.547	7	62	855	8	6	6	621	0	0
8.548	1	4	855	9	3	0	165	0	0
8.548	2	12	855	9	73	0	165	0	0
8.548	3	29	855	9	85	0	165	0	0
8.548	4	34	855	9	89	0	165	0	0
8.548	5	48	855	9	77	0	165	0	0
8.548	6	53	855	9	12	0	165	0	0
8.548	7	67	855	9	12	4	437	0	0
8.549	1	2	855	10	19	0	165	0	0
8.549	2	12	855	10	73	0	165	0	0
8.549	3	24	855	10	94	0	165	0	0
8.549	4	31	855	10	93	0	165	0	0
8.549	5	44	855	10	105	0	165	0	0
8.549	6	52	855	10	30	0	165	0	0
8.549	7	61	855	10	7	10	935	0	0
8.55	1	1	856	1	6	0	165	0	0
8.55	2	15	856	1	99	0	165	0	0
8.55	3	26	856	1	102	0	165	0	0
8.55	4	32	856	1	110	0	165	0	0
8.55	5	42	856	1	12	0	165	0	0
8.55	6	55	856	1	40	0	165	0	0
8.55	7	68	856	1	5	4	437	0	0
8.551	1	8	856	2	7	0	165	0	0
8.551	2	14	856	2	108	0	165	0	0
8.551	3	25	856	2	123	0	165	0	0
8.551	4	36	856	2	121	0	165	0	0
8.551	5	43	856	2	23	0	165	0	0
8.551	6	56	856	2	54	0	165	0	0
8.551	7	64	856	2	8	18	1980	0	0
8.552	1	7	856	3	8	0	165	0	0
8.552	2	13	856	3	116	0	165	0	0
8.552	3	22	856	3	160	0	165	0	0
8.552	4	33	856	3	126	0	165	0	0
8.552	5	45	856	3	33	0	165	0	0
8.552	6	54	856	3	55	0	165	0	0
8.552	7	69	856	3	1	16	1836	0	0
8.553	1	6	856	4	59	0	165	0	0
8.553	2	16	856	4	44	0	165	0	0
8.553	3	28	856	4	219	0	165	0	0
8.553	4	35	856	4	145	0	165	0	0
8.553	5	50	856	4	45	0	165	0	0
8.553	6	51	856	4	81	0	165	0	0
8.553	7	65	856	4	4	6	621	0	0
8.554	1	5	856	5	49	0	165	0	0
8.554	2	11	856	5	34	0	165	0	0
8.554	3	23	856	5	23	0	165	0	0
8.554	4	40	856	5	33	0	165	0	0
8.554	5	49	856	5	67	0	165	0	0
8.554	6	57	856	5	1	0	165	0	0
8.554	7	66	856	5	11	4	437	0	0
8.555	1	10	856	6	15	0	165	0	0
8.555	2	12	856	6	73	0	165	0	0
8.555	3	30	856	6	59	0	165	0	0
8.555	4	38	856	6	37	0	165	0	0
8.555	5	47	856	6	49	0	165	0	0
8.555	6	58	856	6	2	0	165	0	0
8.555	7	63	856	6	3	14	1527	0	0
8.556	1	3	856	7	58	0	165	0	0
8.556	2	15	856	7	99	0	165	0	0
8.556	3	27	856	7	65	0	165	0	0
8.556	4	37	856	7	42	0	165	0	0
8.556	5	46	856	7	56	0	165	0	0
8.556	6	59	856	7	3	0	165	0	0
8.556	7	70	856	7	2	12	1191	0	0
8.557	1	9	856	8	23	0	165	0	0
8.557	2	14	856	8	108	0	165	0	0
8.557	3	29	856	8	85	0	165	0	0
8.557	4	39	856	8	74	0	165	0	0
8.557	5	41	856	8	58	0	165	0	0
8.557	6	60	856	8	8	0	165	0	0
8.557	7	67	856	8	12	4	437	0	0
8.558	1	5	856	9	49	0	165	0	0
8.558	2	13	856	9	116	0	165	0	0
8.558	3	25	856	9	123	0	165	0	0
8.558	4	34	856	9	89	0	165	0	0
8.558	5	49	856	9	67	0	165	0	0
8.558	6	53	856	9	12	0	165	0	0
8.558	7	62	856	9	6	6	621	0	0
8.559	1	4	856	10	3	0	165	0	0
8.559	2	16	856	10	44	0	165	0	0
8.559	3	24	856	10	94	0	165	0	0
8.559	4	33	856	10	126	0	165	0	0
8.559	5	48	856	10	77	0	165	0	0
8.559	6	52	856	10	30	0	165	0	0
8.559	7	61	856	10	7	10	935	0	0
8.56	1	2	857	1	19	0	165	0	0
8.56	2	11	857	1	34	0	165	0	0
8.56	3	26	857	1	102	0	165	0	0
8.56	4	31	857	1	93	0	165	0	0
8.56	5	44	857	1	105	0	165	0	0
8.56	6	55	857	1	40	0	165	0	0
8.56	7	68	857	1	5	4	437	0	0
8.561	1	1	857	2	6	0	165	0	0
8.561	2	12	857	2	73	0	165	0	0
8.561	3	25	857	2	123	0	165	0	0
8.561	4	32	857	2	110	0	165	0	0
8.561	5	42	857	2	12	0	165	0	0
8.561	6	56	857	2	54	0	165	0	0
8.561	7	64	857	2	8	18	1980	0	0
8.562	1	8	857	3	7	0	165	0	0
